series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,3,3,mu-sigma,knn,translate,delelete_bad,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.40625,0.5
2,FIFTS,3,3,3,mu-sigma,knn,translate,delelete_bad,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.421875,0.25
2,FIFTS,3,3,3,mu-sigma,knn,translate,delelete_bad,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.40625,0.75
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.40625,0.5
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.46875,0.25
2,FIFTS,3,3,3,mu-sigma,knn,translate,nothing,3.997,0.9994224140543772,0.9994391879184684,0.10296699522570317,0.003060234888415263,0.5707403694101019,0.390625,0.75
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.15625,0.5
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.140625,0.25
2,FIFTS,3,3,3,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.140625,0.75
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.125,0.5
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.140625,0.25
2,FIFTS,3,3,3,mu-sigma,knn,nothing,nothing,3.997,0.9994307894780385,0.9994417103438232,0.10192482367615543,0.003051668114543738,0.5694671371603967,0.140625,0.75
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delelete_bad,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.65625,0.5
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delelete_bad,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.6875,0.25
2,FIFTS,3,3,3,mu-sigma,uniform,translate,delelete_bad,3.997,0.9769149351969526,0.9759803805806807,0.810842263615401,0.025754127245907546,5.047152382855,0.640625,0.75
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.65625,0.5
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.625,0.25
2,FIFTS,3,3,3,mu-sigma,uniform,translate,nothing,3.997,0.9769149351969526,0.9759803805806807,0.810842263615401,0.025754127245907546,5.047152382855,0.625,0.75
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.515625,0.5
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.53125,0.25
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,delelete_bad,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.546875,0.75
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.578125,0.5
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.578125,0.25
2,FIFTS,3,3,3,mu-sigma,uniform,nothing,nothing,3.997,0.9896306149777518,0.9937313281265258,0.8494898089484266,0.021407864006950727,4.51455947805573,0.53125,0.75
2,FIFTS,3,3,3,min-max,knn,translate,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.421875,0.5
2,FIFTS,3,3,3,min-max,knn,translate,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.421875,0.25
2,FIFTS,3,3,3,min-max,knn,translate,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.421875,0.75
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.4375,0.5
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.46875,0.25
2,FIFTS,3,3,3,min-max,knn,translate,nothing,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.4375,0.75
2,FIFTS,3,3,3,min-max,knn,nothing,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.28125,0.5
2,FIFTS,3,3,3,min-max,knn,nothing,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.296875,0.25
2,FIFTS,3,3,3,min-max,knn,nothing,delelete_bad,3.997,0.5971891288660088,0.5672949554190917,3.9550073571319553,0.11136982870145722,23.443753322716535,0.296875,0.75
