series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,3,mu-sigma,knn,300,0.983262375894031,0.9817483576623147,0.6335673607004207,0.016771384659940512,6.535241868719896,29.8125
2,TVFTS,3,3,mu-sigma,knn,250,0.9850421939844307,0.9836306020878308,0.5912060849525587,0.015808291799334153,6.119210759958333,28.421875
2,TVFTS,3,3,mu-sigma,knn,150,0.9853112304260847,0.981609741807841,0.5322220400412766,0.014464478204467952,5.439960535289687,19.796875
2,TVFTS,3,3,mu-sigma,knn,100,0.9883618809260665,0.9852535832480807,0.46554439158600736,0.012023142511802221,4.558763175151992,13.28125
2,TVFTS,3,3,mu-sigma,knn,75,0.9922825107805668,0.9897606776361154,0.3796045540193514,0.009808713352763551,3.7029377711941946,10.296875
2,TVFTS,3,3,mu-sigma,knn,50,0.9967067838866556,0.9956893326543154,0.24791571584837802,0.006655356641470542,2.50932025589956,7.4375
2,TVFTS,3,3,mu-sigma,knn,25,0.9990011369445149,0.9986604578565561,0.13495725981970805,0.003878002978318853,1.4480388893293992,3.765625
2,TVFTS,3,3,mu-sigma,knn,10,0.9996302129913568,0.9994980508272155,0.08217942156628226,0.0026072442561797565,0.9719554031646802,2.015625
2,TVFTS,3,3,mu-sigma,knn,5,0.9997387943919157,0.9996415535094876,0.06905455032380517,0.0022120838279696127,0.8237997712044121,1.296875
2,TVFTS,3,3,mu-sigma,uniform,300,0.995780933361531,0.9950840104737054,0.290556700865385,0.006972766924754166,2.678344771112368,27.53125
2,TVFTS,3,3,mu-sigma,uniform,250,0.9963727895608291,0.9954656322155073,0.2629575970196155,0.006155518696036571,2.362863268554098,23.640625
2,TVFTS,3,3,mu-sigma,uniform,150,0.9924199161509919,0.9904496001754634,0.37435773980738435,0.008540411943831884,3.2450900814243515,15.671875
2,TVFTS,3,3,mu-sigma,uniform,100,0.9940617432175481,0.9932718130837193,0.3324828759824921,0.007759619061381308,2.912191575577972,10.484375
2,TVFTS,3,3,mu-sigma,uniform,75,0.9950585492856445,0.9934728250010892,0.30176648418376917,0.007582226955926238,2.8402477760039684,8.546875
2,TVFTS,3,3,mu-sigma,uniform,50,0.9974735057184457,0.996804360138027,0.217123587795529,0.005749781474762484,2.148553026700913,5.84375
2,TVFTS,3,3,mu-sigma,uniform,25,0.999335330569993,0.9991323379407423,0.11061669918769926,0.003273164775036552,1.223789006529002,3.5
2,TVFTS,3,3,mu-sigma,uniform,10,0.999726528930464,0.9996235655365222,0.07064433775182938,0.002236898033362767,0.833459974227648,1.765625
2,TVFTS,3,3,mu-sigma,uniform,5,0.999789321211342,0.9997002510264141,0.06202359230405559,0.0019898350862017486,0.7419324549318626,1.09375
